References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell,LCSC,JLC Assembly
RBTST1,1,R R_0805_2012Metric,,,,,,,,,,,,,,,
RF1,1,820K R_0805_2012Metric,TE Connectivity,CRGP0805F820K,Panasonic,ERA6AEB824V,,,,,A130512DKR-ND,279CRGP0805F820K,566418P,,2861130,,
RF2,1,100K R_0805_2012Metric,Panasonic,ERJ-6ENF1003V,TE Connectivity,CPF0805B100KE,,,,,P100KCDKR-ND,667ERJ6ENF1003V,6662673P,,2303757,,
THERM1,1,thermistor TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,,,,,,,,,,,,,,,
THERMISTOR(103-AT)1,1,10K R_0805_2012Metric,Panasonic,ERJ-6ENF1002V,TE Connectivity,CPF0805B10KE,,,,,A106043CT-ND,667ERJ6ENF1002V,6662594,,2303654,,
J1,1,AudioIN PinSocket_1x04_P2.00mm_Vertical,,SQT-102-03-F-S,,,,,,,,200SQT10203FS,,,,,
J2,1,USB_C_Receptacle_USB2.0 USB_C_Receptacle_GCT_USB4085,,USB4085-GF-A,,,,,,,,640USB4085GFA,,,,,
J3,1,5-15V / 3-5A BarrelJack_Horizontal,,PRT-00119,,,,,,,,474PRT00119,,,,,
J4,1,AudioOUT PinSocket_1x04_P2.54mm_Vertical,,929850-01-04-RA,,,,,,,,5179298500104RA,,,,,
J7,1,uC host PinSocket_1x05_P2.00mm_Vertical,,SQT-105-01-F-S,,,,,,,,200SQT10501FS,,,,,
J8,1,5V 3A TerminalBlock_bornier-2_P5.08mm,,OQ0254500000G,,,,,,,,649OQ02545000J0G,,,,,
J9,1,12V 2A TerminalBlock_bornier-2_P5.08mm,,OQ0254500000G,,,,,,,,649OQ02545000J0G,,,,,
